LSI	Brighton	UK	Homestay	Homestay	Single	Shared	HB	235	0	0	16	20	40	21/06/2026	30/08/2026	55	20/12/2026	27/12/2026				
LSI	Brighton	UK	Homestay	Homestay	Twin	Shared	HB	205	0	0	16	30	40	21/06/2026	30/08/2026	55	20/12/2026	27/12/2026				
LSI	Brighton	UK	Residence	Portland 55 - on-site residence	Single	Private	HB	300	0	0			40	14/07/2026	23/08/2026							
LSI	Brighton	UK	Residence	Portland 55 - on-site residence	Twin	Private	HB	275	0	0			40	14/07/2026	23/08/2026							
LSI	Brighton	UK	Student House	Mountford Student House	Single	Shared	HB	300	0	0			40	14/07/2026	23/08/2026							
LSI	Brighton	UK	Student House	Mountford Student House	Twin	Shared	HB	275	0	0			40	14/07/2026	23/08/2026							
LSI	Cambridge	UK	Homestay	Homestay	Single	Shared	HB	255	0	0	16	20	45	21/06/2026	30/08/2026	55	20/12/2026	27/12/2026				
LSI	Cambridge	UK	Homestay	Homestay	Twin	Shared	HB	220	0	0	16	20	45	21/06/2026	30/08/2026	55	20/12/2026	27/12/2026				
LSI	Cambridge	UK	Residence	The Willows	Single	Shared	SC	280	0	0												
LSI	Cambridge	UK	Residence	The Willows	Single	Private	SC	330	0	0												
LSI	Cambridge	UK	Residence	The Willows	Studio	Private	SC	375	0	0												
LSI	Cambridge	UK	Residence	Abbey College	Single	Private	HB	420	0	0	16								Academic year  	100	09/08/2026	31/12/2026
LSI	New York	US	Homestay	Homestay 	Single	Shared	HB	490	160	0	16	20	40	14/06/2026	23/08/2026	60	20/12/2026	2/1/2027				
LSI	New York	US	Homestay	Homestay 	Twin	Shared	HB	450	160	0	16	20	40	14/06/2026	23/08/2026	60	20/12/2026	2/1/2027				
LSI	Berkeley	US	Homestay	Homestay	Single	Shared	HB	405	160	0	16	20	40	14/06/2026	23/08/2026	60	20/12/2026	2/1/2027				
LSI	Berkeley	US	Homestay	Homestay	Twin	Shared	HB	365	160	0	16	20	40	14/06/2026	23/08/2026	60	20/12/2026	2/1/2027				
LSI	Berkeley	US	Residence	Downtown Berkeley - YMCA	Single	Shared	HB	385	150	0												
LSI	San Diego	US	Homestay	Homestay	Single	Shared	HB	390	160	0	16	20	40	14/06/2026	23/08/2026	60	20/12/2026	2/1/2027				
LSI	San Diego	US	Homestay	Homestay	Twin	Shared	HB	350	160	0	16	20	40	14/06/2026	23/08/2026	60	20/12/2026	2/1/2027				
LSI	Boston	US	Homestay	Homestay	Single	Shared	HB	395	160	0	16	20	40	14/06/2026	23/08/2026	60	20/12/2026	2/1/2027				
LSI	Boston	US	Homestay	Homestay	Twin	Shared	HB	355	160	0	16	20	40	14/06/2026	23/08/2026	60	20/12/2026	2/1/2027				
LSI	Boston	US	Studio 	ESL Townhouse	Studio	Private	SC	730	160	0												
LSI	Toronto	CA	Homestay	Homestay	Single	Shared	HB	310	230	0	16	15	40	14/06/2026	23/08/2026	55	20/12/2026	2/1/2027				
LSI	Toronto	CA	Homestay	Homestay	Twin	Shared	HB	285	230	0	16	15	40	14/06/2026	23/08/2026	55	20/12/2026	2/1/2027				
LSI	Toronto	CA	Residence	Toronto Metropolitan University	Single	Private	HB	605	160	0									Academic year  	100	09/08/2026	31/12/2026
