Stafford House	Cambridge	UK	Intensive English	General English Intensive	19	25	A1	16		80						1	400.00	4	385.00	12	345.00	24	300.00					
Stafford House	Cambridge	UK	Super-Intensive English	General English Super Intensive	23	30	A1	16		80						1	430.00	4	415.00	12	370.00	24	315.00					
Stafford House	Cambridge	UK	IELTS Exam Preparation	IELTS Intensive 	19	25	B1	16		80						1	400.00	4	385.00	12	345.00	24	300.00					
Stafford House	Cambridge	UK	IELTS Exam Preparation	IELTS Super Intensive 	23	30	B1	16		80						1	430.00	4	415.00	12	370.00	24	315.00					
Stafford House	Canterbury	UK	General English	General English 	15	20	A1	16		80						1	345.00	4	325.00	12	290.00	24	250.00					
Stafford House	Canterbury	UK	Super-Intensive English	General English Intensive	19	25	A1	16		80						1	375.00	4	355.00	12	320.00	24	280.00					
Stafford House	Canterbury	UK	Intensive English	General English Super Intensive	23	30	A1	16		80						1	400.00	4	380.00	12	345.00	24	305.00					
Stafford House	Canterbury	UK	IELTS Exam Preparation	IELTS Intensive 	19	25	B1	16		80						1	375.00	4	355.00	12	320.00	24	280.00					
Stafford House	Canterbury	UK	IELTS Exam Preparation	IELTS Super Intensive 	23	30	B1	16		80						1	400.00	4	380.00	12	345.00	24	305.00					
Stafford House	London	UK	General English	General English 	15	20	A1	16		80						1	375.00	4	365.00	12	340.00	24	290.00					
Stafford House	London	UK	Intensive English	General English Intensive	19	25	A1	16		80						1	445.00	4	430.00	12	385.00	24	325.00					
Stafford House	London	UK	Super-Intensive English	General English Super Intensive	23	30	A1	16		80						1	470.00	4	460.00	12	415.00	24	335.00					
Stafford House	London	UK	IELTS Exam Preparation	IELTS Intensive 	19	25	B1	16		80						1	445.00	4	430.00	12	385.00	24	325.00					
Stafford House	London	UK	IELTS Exam Preparation	IELTS Super Intensive 	23	30	B1	16		80						1	470.00	4	460.00	12	415.00	24	335.00					
LSI	London	UK	General English	General 20	15	20	A1	16	0	95						1	365	4	355	12	345	24	310					
LSI	London	UK	Semi-Intensive English	Intensive 24	18	24	A1	16	0	95						1	415	4	400	12	380	24	350					
LSI	London	UK	Intensive English	Intensive 30	22.5	30	A1	16	0	95						1	480	4	435	12	410	24	370					
LSI	London	UK	IELTS Exam Preparation	IELTS 20	15	20	B1	16	0	95						1	365	4	355	12	355							
LSI	London	UK	IELTS Exam Preparation	IELTS 30	22.5	30	B1	16	0	95						1	480	4	435	12	410	24	370					
LSI	London	UK	TOEFL Exam Preparation	TOEFL 30	22.5	30	B1	16	0	95						1	480	4	435	12	410	24	370					
LSI	London	UK	Academic English	Academic English 30	22.5	30	B1	16	0	95						12	410	24	370									
LSI	Brighton	UK	General English	General 20	15	20	A1	16	0	95						1	365	4	355	12	345	24	310					
LSI	Brighton	UK	Semi-Intensive English	Intensive 24	18	24	A1	16	0	95						1	415	4	400	12	380	24	350					
LSI	Brighton	UK	Intensive English	Intensive 30	22.5	30	A1	16	0	95						1	480	4	435	12	410	24	370					
LSI	Brighton	UK	IELTS Exam Preparation	IELTS 30	22.5	30	B1	16	0	95						1	480	4	435	12	410	24	370					
LSI	Brighton	UK	TOEFL Exam Preparation	TOEFL 30	22.5	30	B1	16	0	95						1	480	4	435	12	410	24	370					
LSI	Brighton	UK	Academic English	Academic English 30	22.5	30	B1	16	0	95						12	410	24	370									
LSI	Cambridge	UK	General English	General 20	15	20	A1	16	0	95						1	365	4	355	12	345	24	310					
LSI	Cambridge	UK	Semi-Intensive English	Intensive 24	18	24	A1	16	0	95						1	415	4	400	12	380	24	350					
LSI	Cambridge	UK	Intensive English	Intensive 30	22.5	30	A1	16	0	95						1	480	4	435	12	410	24	370					
LSI	Cambridge	UK	IELTS Exam Preparation	IELTS 30	22.5	30	B1	16	0	95						1	480	4	435	12	410	24	370					
LSI	Cambridge	UK	TOEFL Exam Preparation	TOEFL 30	22.5	30	B1	16	0	95						1	480	4	435	12	410	24	370					
LSI	Cambridge	UK	Academic English	Academic English 30	22.5	30	B1	16	0	95						12	410	24	370									
LSI	New York	US	General English	General 20	16.7	20	A1	16	0	185						1	525.00	4	505.00	12	485.00	24	445.00					
LSI	New York	US	TOEFL Exam Preparation	TOEFL 20	16.7	20	B1	16	0	185						1	525.00	4	505.00	12								
LSI	New York	US	Semi-Intensive English	Intensive 25	20.8	25	A1	16	0	185						1	605.00	4	575.00	12	545.00	24	505.00					
LSI	New York	US	Intensive English	Intensive 30	25	30	A1	16	0	185						1	660.00	4	625.00	12	595.00	24	545.00					
LSI	New York	US	Academic English	Academic English 30	25	30	B1	16	0	185						12	595.00	24	545.00									
LSI	New York	US	IELTS Exam Preparation	IELTS 30	25	30	B1	16	0	185						1	660.00	4	625.00	12	595.00	24	545.00					
